+--------+----------------+----------------+
| Bin#   |     VBSWZH     |     Total      |
|--------+----------------+----------------+
| Bin0   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin1   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin2   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin3   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin4   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin5   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin6   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin7   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin8   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin9   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin10  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin11  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin12  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin13  | 44.39 ± 10.46  | 44.39 ± 10.46  |
| Bin14  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin15  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin16  | 49.32 ± 11.03  | 49.32 ± 11.03  |
| Bin17  | 59.18 ± 12.08  | 59.18 ± 12.08  |
| Bin18  | 64.12 ± 12.57  | 64.12 ± 12.57  |
| Bin19  |  36.99 ± 9.55  |  36.99 ± 9.55  |
| Bin20  | 61.65 ± 12.33  | 61.65 ± 12.33  |
| Bin21  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin22  |  51.79 ± 11.3  |  51.79 ± 11.3  |
| Bin23  | 56.72 ± 11.83  | 56.72 ± 11.83  |
| Bin24  | 44.39 ± 10.46  | 44.39 ± 10.46  |
| Bin25  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin26  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin27  | 49.32 ± 11.03  | 49.32 ± 11.03  |
| Bin28  | 81.38 ± 14.17  | 81.38 ± 14.17  |
| Bin29  | 56.72 ± 11.83  | 56.72 ± 11.83  |
| Bin30  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin31  |  29.59 ± 8.54  |  29.59 ± 8.54  |
| Bin32  | 56.72 ± 11.83  | 56.72 ± 11.83  |
| Bin33  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin34  | 61.65 ± 12.33  | 61.65 ± 12.33  |
| Bin35  | 64.12 ± 12.57  | 64.12 ± 12.57  |
| Bin36  | 59.18 ± 12.08  | 59.18 ± 12.08  |
| Bin37  | 73.98 ± 13.51  | 73.98 ± 13.51  |
| Bin38  | 56.72 ± 11.83  | 56.72 ± 11.83  |
| Bin39  | 71.51 ± 13.28  | 71.51 ± 13.28  |
| Bin40  | 44.39 ± 10.46  | 44.39 ± 10.46  |
| Bin41  | 61.65 ± 12.33  | 61.65 ± 12.33  |
| Bin42  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin43  |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin44  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin45  | 59.18 ± 12.08  | 59.18 ± 12.08  |
| Bin46  | 69.05 ± 13.05  | 69.05 ± 13.05  |
| Bin47  | 49.32 ± 11.03  | 49.32 ± 11.03  |
| Bin48  |  27.13 ± 8.18  |  27.13 ± 8.18  |
| Bin49  |  36.99 ± 9.55  |  36.99 ± 9.55  |
| Bin50  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin51  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin52  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin53  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin54  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin55  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin56  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin57  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin58  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin59  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin60  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin61  |   0.0 ± 0.0    |   0.0 ± 0.0    |
+--------+----------------+----------------+
