+--------+----------------+----------------+
| Bin#   |     VBSWZH     |     Total      |
|--------+----------------+----------------+
| Bin0   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin1   |  19.73 ± 6.97  |  19.73 ± 6.97  |
| Bin2   |  29.59 ± 8.54  |  29.59 ± 8.54  |
| Bin3   | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin4   | 64.12 ± 12.57  | 64.12 ± 12.57  |
| Bin5   | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin6   | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin7   | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin8   | 59.18 ± 12.08  | 59.18 ± 12.08  |
| Bin9   | 54.25 ± 11.57  | 54.25 ± 11.57  |
| Bin10  |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin11  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin12  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin13  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin14  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin15  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin16  | 59.18 ± 12.08  | 59.18 ± 12.08  |
| Bin17  |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin18  |  51.79 ± 11.3  |  51.79 ± 11.3  |
| Bin19  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin20  |  51.79 ± 11.3  |  51.79 ± 11.3  |
| Bin21  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin22  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin23  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin24  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin25  |  29.59 ± 8.54  |  29.59 ± 8.54  |
| Bin26  |  32.06 ± 8.89  |  32.06 ± 8.89  |
| Bin27  | 54.25 ± 11.57  | 54.25 ± 11.57  |
| Bin28  |  36.99 ± 9.55  |  36.99 ± 9.55  |
| Bin29  |  36.99 ± 9.55  |  36.99 ± 9.55  |
| Bin30  |  22.19 ± 7.4   |  22.19 ± 7.4   |
| Bin31  |  32.06 ± 8.89  |  32.06 ± 8.89  |
| Bin32  |  32.06 ± 8.89  |  32.06 ± 8.89  |
| Bin33  |  36.99 ± 9.55  |  36.99 ± 9.55  |
| Bin34  |  29.59 ± 8.54  |  29.59 ± 8.54  |
| Bin35  |  22.19 ± 7.4   |  22.19 ± 7.4   |
| Bin36  |  19.73 ± 6.97  |  19.73 ± 6.97  |
| Bin37  |  17.26 ± 6.52  |  17.26 ± 6.52  |
| Bin38  |  24.66 ± 7.8   |  24.66 ± 7.8   |
| Bin39  |  14.8 ± 6.04   |  14.8 ± 6.04   |
| Bin40  |  24.66 ± 7.8   |  24.66 ± 7.8   |
| Bin41  |  24.66 ± 7.8   |  24.66 ± 7.8   |
| Bin42  |  19.73 ± 6.97  |  19.73 ± 6.97  |
| Bin43  |  27.13 ± 8.18  |  27.13 ± 8.18  |
| Bin44  |  14.8 ± 6.04   |  14.8 ± 6.04   |
| Bin45  |  12.33 ± 5.51  |  12.33 ± 5.51  |
| Bin46  |  22.19 ± 7.4   |  22.19 ± 7.4   |
| Bin47  |  17.26 ± 6.52  |  17.26 ± 6.52  |
| Bin48  |  17.26 ± 6.52  |  17.26 ± 6.52  |
| Bin49  |  17.26 ± 6.52  |  17.26 ± 6.52  |
| Bin50  |  12.33 ± 5.51  |  12.33 ± 5.51  |
| Bin51  |  9.86 ± 4.93   |  9.86 ± 4.93   |
| Bin52  |  12.33 ± 5.51  |  12.33 ± 5.51  |
| Bin53  |  12.33 ± 5.51  |  12.33 ± 5.51  |
| Bin54  |  14.8 ± 6.04   |  14.8 ± 6.04   |
| Bin55  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin56  |  14.8 ± 6.04   |  14.8 ± 6.04   |
| Bin57  |  4.93 ± 3.49   |  4.93 ± 3.49   |
| Bin58  |  9.86 ± 4.93   |  9.86 ± 4.93   |
| Bin59  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin60  |  17.26 ± 6.52  |  17.26 ± 6.52  |
| Bin61  | 138.1 ± 18.45  | 138.1 ± 18.45  |
+--------+----------------+----------------+
