+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.1919 ± 0.04796       |     0.06354 ± 0.02246     |
| Bin2   |  3.041 ± 1.014   |  3.041 ± 1.014   |      0.2998 ± 0.05996       |     0.2224 ± 0.04202      |
| Bin3   | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.2638 ± 0.05624       |     0.3018 ± 0.04896      |
| Bin4   |  3.378 ± 1.068   |  3.378 ± 1.068   |      0.5156 ± 0.07863       |     0.5162 ± 0.06403      |
| Bin5   |   4.054 ± 1.17   |   4.054 ± 1.17   |      0.4916 ± 0.07678       |     0.5162 ± 0.06403      |
| Bin6   |  5.743 ± 1.393   |  5.743 ± 1.393   |      0.3957 ± 0.06888       |     0.3177 ± 0.05023      |
| Bin7   |  6.081 ± 1.433   |  6.081 ± 1.433   |      0.2878 ± 0.05874       |     0.2621 ± 0.04562      |
| Bin8   |  7.433 ± 1.585   |  7.433 ± 1.585   |      0.2638 ± 0.05624       |     0.2939 ± 0.04831      |
| Bin9   |  8.446 ± 1.689   |  8.446 ± 1.689   |      0.1799 ± 0.04644       |     0.3177 ± 0.05023      |
| Bin10  |   7.77 ± 1.689   |   7.77 ± 1.689   |      0.07195 ± 0.02937      |      0.6989 ± 0.0745      |
| Bin11  |  11.82 ± 1.999   |  11.82 ± 1.999   |      0.3118 ± 0.06114       |      15.04 ± 0.3456       |
| Bin12  |  11.15 ± 1.941   |  11.15 ± 1.941   |      0.2038 ± 0.04944       |      7.045 ± 0.2365       |
| Bin13  |  10.47 ± 1.881   |  10.47 ± 1.881   |      0.01199 ± 0.01199      |     0.07148 ± 0.02383     |
| Bin14  |  7.095 ± 1.548   |  7.095 ± 1.548   |            0 ± 0            |           0 ± 0           |
| Bin15  |  6.419 ± 1.473   |  6.419 ± 1.473   |      0.02398 ± 0.01696      |     0.06354 ± 0.02246     |
| Bin16  |  7.433 ± 1.585   |  7.433 ± 1.585   |      0.04796 ± 0.02398      |     0.02383 ± 0.01376     |
| Bin17  |  8.446 ± 1.689   |  8.446 ± 1.689   |      0.01199 ± 0.01199      |     0.01588 ± 0.01123     |
| Bin18  |   7.77 ± 1.62    |   7.77 ± 1.62    |      0.02398 ± 0.01696      |           0 ± 0           |
| Bin19  |   4.054 ± 1.17   |   4.054 ± 1.17   |            0 ± 0            |           0 ± 0           |
| Bin20  |  4.392 ± 1.218   |  4.392 ± 1.218   |      0.01199 ± 0.01199      |           0 ± 0           |
| Bin21  |  6.081 ± 1.433   |  6.081 ± 1.433   |      0.01199 ± 0.01199      |           0 ± 0           |
| Bin22  |  3.378 ± 1.068   |  3.378 ± 1.068   |      0.01199 ± 0.01199      |           0 ± 0           |
| Bin23  |  3.378 ± 1.068   |  3.378 ± 1.068   |            0 ± 0            |    0.007942 ± 0.007942    |
| Bin24  |   4.054 ± 1.17   |   4.054 ± 1.17   |            0 ± 0            |           0 ± 0           |
| Bin25  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |            0 ± 0            |    0.007942 ± 0.007942    |
| Bin26  |  3.041 ± 1.014   |  3.041 ± 1.014   |      0.01199 ± 0.01199      |           0 ± 0           |
| Bin27  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |      0.01199 ± 0.01199      |           0 ± 0           |
| Bin28  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.01199 ± 0.01199      |    0.007942 ± 0.007942    |
| Bin29  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |            0 ± 0            |    0.007942 ± 0.007942    |
| Bin30  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |            0 ± 0            |           0 ± 0           |
| Bin31  |   20.95 ± 2.66   |   20.95 ± 2.66   |      0.2398 ± 0.05363       |     0.06354 ± 0.02246     |
+--------+------------------+------------------+-----------------------------+---------------------------+
